bid,use1_gf,use2_gf,steps_lb,steps_ub,f0_tag,f0_cap,f0_elv,f0_scale,f1_tag,f1_cap,f1_elv,f1_scale,f2_tag,f2_cap,f2_elv,f2_scale,f5_tag,f5_cap,f5_elv,f5_scale
2765000,resi,sfd,1.7,3.8,IBI2020_mf_struc_resi-sfd-std,112000.0,0.4,150.0,IBI2017_mf_cont_resi,1000000.0,0.4,150.0,IBI2020_cel_struc_crwl,56000.0,-2.3,150.0,IBI2020_gen_struc_resi-sfd-std,56000.0,0.4,150.0
2760000,nrp,office,-0.1,2.0,IBI2020_mf_struc_nrp-office-s0,46000.0,0.1,360.0,okNRP_mf_cont_nrp-office,1000000.0,0.1,360.0,IBI2020_cel_struc_bsmt,23000.0,-2.6,360.0,IBI2020_gen_struc_nrp-office-3,23000.0,0.1,360.0
2761000,nrp,office,0.0,2.1,IBI2020_mf_struc_nrp-office-s0,1246000.0,0.2,250.0,okNRP_mf_cont_nrp-office,1000000.0,0.2,250.0,IBI2020_cel_struc_bsmt,623000.0,-2.5,250.0,IBI2020_gen_struc_nrp-office-3,623000.0,0.2,250.0
2758000,nrp,comy,0.7,2.8,IBI2020_mf_struc_nrp,10000.0,0.3,100.0,okNRP_mf_cont_nrp-6x,1000000.0,0.3,100.0,IBI2020_cel_struc_bsmt,10000.0,-2.4,100.0,,,,
2727000,resi,mf,-1.0,1.0,IBI2020_mf_struc_resi-mf-std,10000.0,0.0,380.0,IBI2017_mf_cont_resi,1000000.0,0.0,380.0,IBI2020_cel_struc_bsmt,10000.0,-2.7,380.0,IBI2020_gen_struc_resi-mf-std,4000.0,0.0,380.0
2728000,resi,mf,1.4,3.6,IBI2020_mf_struc_resi-mf-std,10000.0,0.4,320.0,IBI2017_mf_cont_resi,1000000.0,0.4,320.0,IBI2020_cel_struc_bsmt,10000.0,-2.3,320.0,IBI2020_gen_struc_resi-mf-std,4000.0,0.4,320.0
2725000,nrp,rest,-1.0,1.0,IBI2020_mf_struc_nrp-rest-std,121000.0,0.0,270.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,270.0,IBI2020_cel_struc_bsmt,60000.0,-2.7,270.0,IBI2020_gen_struc_nrp-rest-std,60000.0,0.0,270.0
2726000,nrp,retail,-1.0,1.0,IBI2020_mf_struc_nrp-retail-s1,34000.0,0.0,220.0,okNRP_mf_cont_nrp-retail,1000000.0,0.0,220.0,IBI2020_cel_struc_bsmt,17000.0,-2.7,220.0,IBI2020_gen_struc_nrp-retail-5,17000.0,0.0,220.0
2723000,nrp,office,-1.0,1.0,IBI2020_mf_struc_nrp-office-s0,26000.0,0.0,190.0,okNRP_mf_cont_nrp-office,1000000.0,0.0,190.0,IBI2020_cel_struc_bsmt,13000.0,-2.7,190.0,IBI2020_gen_struc_nrp-office-3,13000.0,0.0,190.0
2724000,nrp,office,-1.0,1.0,IBI2020_mf_struc_nrp-office-s0,94000.0,0.0,300.0,okNRP_mf_cont_nrp-office,1000000.0,0.0,300.0,IBI2020_cel_struc_bsmt,47000.0,-2.7,300.0,IBI2020_gen_struc_nrp-office-3,47000.0,0.0,300.0
2721000,nrp,retail,-1.0,1.0,IBI2020_mf_struc_nrp-retail-s1,138000.0,0.0,240.0,okNRP_mf_cont_nrp-retail,1000000.0,0.0,240.0,IBI2020_cel_struc_bsmt,69000.0,-2.7,240.0,IBI2020_gen_struc_nrp-retail-5,69000.0,0.0,240.0
2722000,nrp,office,0.0,2.1,IBI2020_mf_struc_nrp-office-s0,26000.0,0.2,240.0,okNRP_mf_cont_nrp-office,1000000.0,0.2,240.0,IBI2020_cel_struc_bsmt,13000.0,-2.5,240.0,IBI2020_gen_struc_nrp-office-3,13000.0,0.2,240.0
2719000,nrp,comy,-1.0,1.0,IBI2020_mf_struc_nrp,231000.0,0.0,340.0,okNRP_mf_cont_nrp-6x,1000000.0,0.0,340.0,IBI2020_cel_struc_bsmt,116000.0,-2.7,340.0,,,,
2720000,nrp,retail,-1.0,1.0,IBI2020_mf_struc_nrp-retail-s1,138000.0,0.0,270.0,okNRP_mf_cont_nrp-retail,1000000.0,0.0,270.0,IBI2020_cel_struc_bsmt,69000.0,-2.7,270.0,IBI2020_gen_struc_nrp-retail-5,69000.0,0.0,270.0
