xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
240,0.0,974.9444,1299.7436,1949.8888,5468.0,7813.40747,151.14691
241,0.0,161.8564,1299.6972,3575.3788,7474.4704,10073.8648,87.6811
242,0.0,8445.0869,106592.7711,134871.3081,169324.9542,192294.0516,4355.71227
243,0.0,0.0,4222.6626,12667.9878,42263.6669,61994.11963,313.33515
244,0.0,0.0,0.0,0.0,3249.774,5416.29,13.54072
245,0.0,0.0,0.0,0.0,45.6084,76.014,0.19004
246,0.0,0.0,0.0,0.0,975.0128,1625.02133,4.06255
247,0.0,273.671,1300.6015,1300.6015,5199.749,7799.18067,81.26324
248,0.0,0.0,0.0,0.0,1299.9168,2166.528,5.41632
249,,0.0,0.0,0.0,0.0,,0.0
250,0.0,0.0,23.8845,66.8766,415.5903,648.0661,2.49195
251,0.0,0.0,0.0,0.0,34781.336,57968.89333,144.92223
252,0.0,0.0,0.0,0.0,1299.567,2165.945,5.41486
253,0.0,8449.0236,23723.982,35752.7628,49076.0316,57958.2108,1660.10618
254,0.0,507.7932,507.7932,648.1588,648.1588,648.1588,64.52689
255,0.0,462.6198,3249.0972,6499.9875,10399.98,12999.975,182.05344
256,0.0,526.1204,974.5905,974.5905,1949.181,2598.908,83.27995
257,0.0,0.0,974.385,1299.7305,1299.7305,1299.7305,31.67164
258,0.0,401.926,645.9525,645.9525,976.106,1196.20833,58.93718
259,0.0,241.0425,307.106,580.2875,2274.727,3404.35333,41.22124
260,0.0,1299.4332,1625.0976,1949.1498,2600.4786,3034.6978,177.34334
261,0.0,2598.0956,3900.8656,4224.697,6498.9612,8015.13733,375.74989
262,0.0,0.0,0.0,0.0,6500.1,10833.5,27.08375
263,0.0,6500.9768,9751.4652,9751.4652,11376.7094,12460.20553,916.9086
264,0.0,25803.414,34200.117,38404.044,44102.205,47900.979,3532.59963
265,0.0,2913.052,21762.212,26645.858,37398.447,44566.83967,1011.0361
266,0.0,779.2304,1138.8752,10489.64,223519.2432,365538.97867,1065.94723
267,0.0,613.4896,2147.2136,7361.8752,442632.7464,732813.3272,1975.43651
268,,0.0,0.0,0.0,0.0,,0.0
269,0.0,1964.98,2921.615,3748.975,11246.925,16245.55833,311.76821
270,0.0,172.9368,2248.1784,2248.1784,14238.4632,22231.9864,133.83387
271,0.0,0.0,3581.6779,10400.3534,70524.5866,110607.40873,409.10804
272,0.0,170.5056,2259.1992,3005.1612,8248.2084,11743.5732,111.41475
273,0.0,59.2965,3735.6795,7471.359,21761.8155,31288.7865,205.26472
274,0.0,31848.3046,41922.7683,43547.6818,49072.3877,52755.52497,4318.47845
275,0.0,400.5816,667.636,5875.1968,51007.3904,81095.51947,285.19184
276,0.0,0.0,0.0,0.0,3574.521,5957.535,14.89384
277,0.0,974.516,9097.5784,9097.5784,12027.4136,13980.63707,377.71402
278,0.0,0.0,12.5712,201.1392,18001.9584,29869.1712,75.96148
279,0.0,0.0,0.0,0.0,1300.2936,2167.156,5.41789
280,,0.0,0.0,0.0,0.0,,0.0
281,0.0,483.828,11998.9344,16498.5348,82492.674,126488.7668,714.65428
282,0.0,729.3816,2273.9544,3904.3368,8130.4596,10947.8748,167.3466
283,0.0,0.0,231.8428,276.7156,575.8676,775.30227,8.5383
284,0.0,156.4445,156.4445,156.4445,322.1181,432.56717,20.24587
285,,0.0,0.0,0.0,0.0,,0.0
286,0.0,0.0,0.0,0.0,1499.1028,2498.50467,6.24626
287,,0.0,0.0,0.0,0.0,,0.0
288,0.0,24050.2597,28272.3987,29570.9056,32494.5377,34443.62577,3154.86723
289,0.0,9741.2448,17264.6169,21743.85,70493.5617,102993.3695,1680.07481
290,,0.0,0.0,0.0,0.0,,0.0
291,,0.0,0.0,0.0,0.0,,0.0
292,0.0,2600.6092,5525.0164,6176.0208,10722.8264,13754.03013,436.63592
293,0.0,0.0,0.0,0.0,648.0691,1080.11517,2.70029
294,0.0,0.0,0.0,27.4939,974.8298,1606.38707,4.15344
295,,0.0,0.0,0.0,0.0,,0.0
296,0.0,17506.7614,17506.7614,26260.1421,43766.9035,55438.07777,2326.94037
297,0.0,2575.6311,8462.7879,20447.3571,78635.5944,117427.7526,830.90385
298,,0.0,0.0,0.0,0.0,,0.0
299,0.0,3.0615,976.6185,1625.6565,2274.6945,2707.3865,37.16151
300,0.0,99.4605,204.356,204.356,650.026,947.13933,17.43639
301,,0.0,0.0,0.0,0.0,,0.0
302,,0.0,0.0,0.0,0.0,,0.0
303,0.0,90445.6359,140580.2955,156162.6897,204942.3585,237462.1377,13129.86085
304,,0.0,0.0,0.0,0.0,,0.0
305,0.0,28633.3401,37277.3673,39978.6258,47001.8979,51684.0793,3888.0114
306,0.0,90.1771,90.1771,360.7084,541.0626,661.29873,14.0526
