bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,rawpop,cap_pop,SVIt_score,f0_scale,f0_elv
207004,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
284000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
286000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
287000,5907005,59070288,resi,mf,23,mf,0.813829787,18.71808511,0.71,18.7,13.29,5,6.65,0.1
288000,5907005,59070292,resi,sfd,4,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
289000,5907005,59070292,resi,sfd,4,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
293000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
254001,5907005,59070286,resi,sfd,1,sfd1,1.5,1.5,0.6,1.5,0.9,3,0.27,0.1
295000,5907005,59070287,resi,sfd,4,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
297000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
298000,5907005,59070287,resi,sfd,4,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
303000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
305000,5907005,59070287,resi,sfd,5,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
308000,5907005,59070286,resi,sfd,3,sfd3,2.0,2.0,0.6,2.0,1.2,3,0.36,0.1
309000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
311000,5907005,59070286,resi,sfd,3,sfd3,2.0,2.0,0.6,2.0,1.2,3,0.36,0.1
314000,5907005,59070286,resi,sfd,3,sfd3,2.0,2.0,0.6,2.0,1.2,3,0.36,0.1
316000,5907005,59070286,resi,sfd,5,sfd4,2.7,2.7,0.6,2.7,1.62,3,0.49,0.1
317000,5907005,59070286,resi,mf,81,mf,0.813829787,65.92021277,0.6,65.9,39.55,3,11.87,0.1
254003,5907005,59070286,resi,mf,82,mf,0.813829787,66.73404255,0.6,66.7,40.04,3,12.01,0.1
319000,5907005,59070286,resi,sfd,2,sfd2,1.9,1.9,0.6,1.9,1.14,3,0.34,0.1
340000,5907005,59070286,resi,sfd,5,sfd4,2.7,2.7,0.6,2.7,1.62,3,0.49,0.1
