xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
826,,0.0,0.0,0.0,0.0,,0.0
827,,0.0,0.0,0.0,0.0,,0.0
828,,0.0,0.0,0.0,0.0,,0.0
829,,0.0,0.0,0.0,0.0,,0.0
830,,0.0,0.0,0.0,0.0,,0.0
831,,0.0,0.0,0.0,0.0,,0.0
832,,0.0,0.0,0.0,0.0,,0.0
833,,0.0,0.0,0.0,0.0,,0.0
834,0.0,0.0,0.0,0.0,1.0,1.667,0.004
835,,0.0,0.0,0.0,0.0,,0.0
836,,0.0,0.0,0.0,0.0,,0.0
837,,0.0,0.0,0.0,0.0,,0.0
838,,0.0,0.0,0.0,0.0,,0.0
839,,0.0,0.0,0.0,0.0,,0.0
840,,0.0,0.0,0.0,0.0,,0.0
841,,0.0,0.0,0.0,0.0,,0.0
842,,0.0,0.0,0.0,0.0,,0.0
843,,0.0,0.0,0.0,0.0,,0.0
844,,0.0,0.0,0.0,0.0,,0.0
845,,0.0,0.0,0.0,0.0,,0.0
846,,0.0,0.0,0.0,0.0,,0.0
847,,0.0,0.0,0.0,0.0,,0.0
849,,0.0,0.0,0.0,0.0,,0.0
850,,0.0,0.0,0.0,0.0,,0.0
851,,0.0,0.0,0.0,0.0,,0.0
852,,0.0,0.0,0.0,0.0,,0.0
853,,0.0,0.0,0.0,0.0,,0.0
854,,0.0,0.0,0.0,0.0,,0.0
855,,0.0,0.0,0.0,0.0,,0.0
856,,0.0,0.0,0.0,0.0,,0.0
857,,0.0,0.0,0.0,0.0,,0.0
858,,0.0,0.0,0.0,0.0,,0.0
859,0.0,0.0,1.0,1.0,1.0,1.0,0.03
860,,0.0,0.0,0.0,0.0,,0.0
861,,0.0,0.0,0.0,0.0,,0.0
862,,0.0,0.0,0.0,0.0,,0.0
863,,0.0,0.0,0.0,0.0,,0.0
864,0.0,0.0,0.0,0.0,1.0,1.667,0.004
865,,0.0,0.0,0.0,0.0,,0.0
866,0.0,0.0,0.0,0.0,1.0,1.667,0.004
867,,0.0,0.0,0.0,0.0,,0.0
868,,0.0,0.0,0.0,0.0,,0.0
869,0.0,0.0,0.0,0.0,1.0,1.667,0.004
870,,0.0,0.0,0.0,0.0,,0.0
871,,0.0,0.0,0.0,0.0,,0.0
872,,0.0,0.0,0.0,0.0,,0.0
873,0.0,0.0,0.0,0.0,1.0,1.667,0.004
874,0.0,0.0,0.0,0.0,1.0,1.667,0.004
875,,0.0,0.0,0.0,0.0,,0.0
876,,0.0,0.0,0.0,0.0,,0.0
877,,0.0,0.0,0.0,0.0,,0.0
878,,0.0,0.0,0.0,0.0,,0.0
879,,0.0,0.0,0.0,0.0,,0.0
880,,0.0,0.0,0.0,0.0,,0.0
881,,0.0,0.0,0.0,0.0,,0.0
882,,0.0,0.0,0.0,0.0,,0.0
883,,0.0,0.0,0.0,0.0,,0.0
884,,0.0,0.0,0.0,0.0,,0.0
885,,0.0,0.0,0.0,0.0,,0.0
886,,0.0,0.0,0.0,0.0,,0.0
887,,0.0,0.0,0.0,0.0,,0.0
888,,0.0,0.0,0.0,0.0,,0.0
889,,0.0,0.0,0.0,0.0,,0.0
890,,0.0,0.0,0.0,0.0,,0.0
891,,0.0,0.0,0.0,0.0,,0.0
893,,0.0,0.0,0.0,0.0,,0.0
894,,0.0,0.0,0.0,0.0,,0.0
896,,0.0,0.0,0.0,0.0,,0.0
897,,0.0,0.0,0.0,0.0,,0.0
901,,0.0,0.0,0.0,0.0,,0.0
902,,0.0,0.0,0.0,0.0,,0.0
908,,0.0,0.0,0.0,0.0,,0.0
909,,0.0,0.0,0.0,0.0,,0.0
910,,0.0,0.0,0.0,0.0,,0.0
914,,0.0,0.0,0.0,0.0,,0.0
918,,0.0,0.0,0.0,0.0,,0.0
922,,0.0,0.0,0.0,0.0,,0.0
923,,0.0,0.0,0.0,0.0,,0.0
924,,0.0,0.0,0.0,0.0,,0.0
925,,0.0,0.0,0.0,0.0,,0.0
926,,0.0,0.0,0.0,0.0,,0.0
928,,0.0,0.0,0.0,0.0,,0.0
929,,0.0,0.0,0.0,0.0,,0.0
931,,0.0,0.0,0.0,0.0,,0.0
936,0.0,0.0,0.0,0.0,1.0,1.667,0.004
937,,0.0,0.0,0.0,0.0,,0.0
939,,0.0,0.0,0.0,0.0,,0.0
944,,0.0,0.0,0.0,0.0,,0.0
948,,0.0,0.0,0.0,0.0,,0.0
959,,0.0,0.0,0.0,0.0,,0.0
960,,0.0,0.0,0.0,0.0,,0.0
962,,0.0,0.0,0.0,0.0,,0.0
963,,0.0,0.0,0.0,0.0,,0.0
970,,0.0,0.0,0.0,0.0,,0.0
973,,0.0,0.0,0.0,0.0,,0.0
975,,0.0,0.0,0.0,0.0,,0.0
977,,0.0,0.0,0.0,0.0,,0.0
981,,0.0,0.0,0.0,0.0,,0.0
982,,0.0,0.0,0.0,0.0,,0.0
983,,0.0,0.0,0.0,0.0,,0.0
986,,0.0,0.0,0.0,0.0,,0.0
997,,0.0,0.0,0.0,0.0,,0.0
999,,0.0,0.0,0.0,0.0,,0.0
1003,,0.0,0.0,0.0,0.0,,0.0
1005,,0.0,0.0,0.0,0.0,,0.0
1006,,0.0,0.0,0.0,0.0,,0.0
1007,,0.0,0.0,0.0,0.0,,0.0
