bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
2441001,5907041,59070211,resi,sfd,3,sfd3,2.4,2.4,0.89,0.1,2.14
13654000,5907041,59070210,resi,sfd,3,sfd3,2.4,2.4,0.9,0.1,2.16
2444001,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13655000,5907041,59070216,resi,sfd,1,sfd1,1.283333333,1.283333333,0.88,0.1,1.13
13656000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13657000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13658000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
2458001,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
2457001,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13660000,5907041,59070216,resi,sfd,6,sfd4,2.9,2.9,0.88,0.1,2.55
13661000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
2443001,5907041,59070211,resi,sfd,3,sfd3,2.4,2.4,0.89,0.1,2.14
13662000,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
2447001,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
2450001,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13664000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13665000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13666000,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
13667000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13668000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13670000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13671000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
