bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
254006,0.0,180750.0,210201.0,216313.5,222833.25,227179.75,23550.289
254007,0.0,141784.5,157861.0,162918.525,164286.65,165198.733,18248.989
254008,0.0,71721.6,105412.8,113130.4,116695.2,119071.733,10048.671
254009,0.0,82698.175,97322.4,101624.25,105005.775,107260.125,10822.352
254010,0.0,0.0,14300.0,14300.0,14300.0,14300.0,429.0
254012,,0.0,0.0,0.0,0.0,,0.0
254024,,0.0,0.0,0.0,0.0,,0.0
254026,0.0,16900.0,16900.0,16900.0,16900.0,16900.0,2112.5
254027,0.0,5200.0,17057.8,48902.233,49546.0,49975.178,1247.25
254032,0.0,18722.25,37926.0,40713.6,41112.0,41377.6,2938.961
254033,0.0,24000.0,24000.0,149037.5,151506.7,153152.833,3948.07
254034,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,1000.0
254035,0.0,52944.6,57894.88,60595.46,60755.193,60861.682,6787.503
254036,0.0,135485.992,150689.0,162614.467,162230.933,161975.244,17479.682
254037,0.0,47143.775,88621.75,95114.6,96044.2,96663.933,7189.881
254039,0.0,58213.6,61050.7,62773.45,62853.05,62906.117,7375.065
254041,0.0,111039.885,140627.85,150634.44,152095.24,153069.107,14848.761
254042,0.0,108400.9,246329.0,264926.667,267716.0,269575.555,17839.06
254043,0.0,240533.04,276181.4,296251.853,299320.12,301365.631,31299.394
254047,,0.0,0.0,0.0,0.0,,0.0
254061,,0.0,0.0,0.0,0.0,,0.0
254062,,0.0,0.0,0.0,0.0,,0.0
254065,,0.0,0.0,0.0,0.0,,0.0
254073,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,1000.0
254076,0.0,53952.0,60311.933,60791.133,62843.1,64211.078,6946.942
254078,,0.0,0.0,0.0,0.0,,0.0
254079,,0.0,0.0,0.0,0.0,,0.0
254082,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,2500.0
254083,0.0,29900.0,29900.0,29900.0,29900.0,29900.0,3737.5
254084,,0.0,0.0,0.0,0.0,,0.0
254088,0.0,14300.0,14300.0,14300.0,45918.95,66998.25,1919.246
254089,,0.0,0.0,0.0,0.0,,0.0
254090,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,1500.0
254094,,0.0,0.0,0.0,0.0,,0.0
254095,,0.0,0.0,0.0,0.0,,0.0
254096,,0.0,0.0,0.0,0.0,,0.0
254099,0.0,3900.0,37269.0,38583.0,42307.2,44790.0,1513.942
254100,,0.0,0.0,0.0,0.0,,0.0
254103,0.0,10000.0,82549.167,86927.167,96230.417,102432.584,3498.074
254106,,0.0,0.0,0.0,0.0,,0.0
254107,0.0,0.0,6000.0,6000.0,6000.0,6000.0,180.0
