bid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
5986005,0.0,0.0,0.0,16900.0
5986006,0.0,0.0,0.0,0.0
5986007,0.0,0.0,0.0,0.0
5986008,3900.0,3900.0,3900.0,3900.0
5986009,0.0,0.0,0.0,0.0
5986010,0.0,0.0,0.0,10400.0
5986011,0.0,0.0,0.0,0.0
5987000,0.0,0.0,0.0,0.0
5987001,0.0,0.0,0.0,0.0
5987002,0.0,0.0,0.0,22100.0
5988000,0.0,0.0,0.0,0.0
5989000,0.0,0.0,0.0,0.0
5990000,14300.0,14300.0,14300.0,14300.0
5992001,0.0,0.0,0.0,0.0
5994000,0.0,0.0,0.0,0.0
5995000,0.0,0.0,0.0,0.0
5996000,0.0,0.0,0.0,0.0
5997000,0.0,0.0,0.0,0.0
5998000,0.0,0.0,0.0,0.0
5999000,34000.0,34000.0,34000.0,34000.0
6000000,0.0,0.0,0.0,0.0
6001001,0.0,0.0,0.0,0.0
6002000,0.0,0.0,0.0,0.0
6003000,0.0,0.0,46000.0,46000.0
6004000,50000.0,50000.0,50000.0,97907.5
6005000,0.0,0.0,0.0,0.0
6005001,0.0,30000.0,30000.0,30000.0
6005002,0.0,0.0,0.0,0.0
6006000,9100.0,9100.0,9100.0,76623.925
6006002,0.0,0.0,0.0,3900.0
6006003,0.0,0.0,0.0,0.0
6006004,3900.0,3900.0,3900.0,3900.0
6006005,0.0,0.0,0.0,0.0
6006006,0.0,0.0,0.0,23000.0
6006007,0.0,0.0,0.0,5200.0
6007001,0.0,0.0,0.0,0.0
6009000,80000.0,80000.0,80000.0,80000.0
6010000,0.0,0.0,70000.0,70000.0
6011001,0.0,40000.0,40000.0,40000.0
6012000,210955.33,219011.84499999997,219850.63,221170.0
6013001,0.0,0.0,0.0,0.0
6015000,8000.0,8000.0,8000.0,46585.1
6017000,5200.0,5200.0,16697.8,45902.0
6018001,18000.0,18000.0,18000.0,18000.0
6019000,0.0,18000.0,18000.0,18000.0
6020000,12000.0,12000.0,12000.0,12000.0
6020001,0.0,0.0,0.0,0.0
6020002,0.0,42000.0,42000.0,42000.0
6021000,50000.0,50000.0,50000.0,50000.0
6022000,26000.0,26000.0,26000.0,26000.0
6023000,0.0,0.0,0.0,0.0
6024001,22000.0,22000.0,22000.0,22000.0
6025000,0.0,0.0,46000.0,46000.0
6026000,0.0,0.0,0.0,0.0
6027000,16900.0,16900.0,16900.0,16900.0
6028000,10000.0,10000.0,10000.0,10000.0
6029000,0.0,0.0,0.0,0.0
6030001,0.0,0.0,0.0,36000.0
6031000,0.0,0.0,0.0,44000.0
6032000,0.0,0.0,0.0,0.0
6033000,0.0,0.0,0.0,0.0
6034002,0.0,0.0,0.0,0.0
6035001,0.0,0.0,0.0,0.0
6036000,0.0,0.0,0.0,0.0
6036001,0.0,0.0,0.0,0.0
6037000,0.0,0.0,0.0,0.0
6038000,0.0,0.0,0.0,0.0
6039000,0.0,0.0,0.0,0.0
6041000,0.0,0.0,0.0,0.0
6041001,0.0,0.0,0.0,0.0
6042000,0.0,0.0,0.0,0.0
6043000,28600.0,28600.0,28600.0,28600.0
6044000,0.0,0.0,0.0,0.0
6044001,0.0,0.0,0.0,0.0
6045000,0.0,0.0,0.0,0.0
6046000,0.0,0.0,0.0,0.0
6047000,0.0,0.0,0.0,0.0
6048000,0.0,0.0,0.0,0.0
6049000,0.0,0.0,0.0,0.0
6050000,0.0,0.0,0.0,0.0
6051000,0.0,0.0,0.0,0.0
6052000,0.0,0.0,0.0,0.0
6053000,0.0,0.0,0.0,0.0
6054000,0.0,0.0,0.0,0.0
6055000,0.0,0.0,0.0,0.0
6056000,0.0,0.0,0.0,0.0
6057000,0.0,0.0,0.0,0.0
6058000,0.0,0.0,0.0,0.0
6059000,0.0,0.0,0.0,0.0
6061001,0.0,0.0,0.0,0.0
6062000,0.0,0.0,0.0,0.0
6063000,0.0,0.0,0.0,0.0
6064000,0.0,0.0,0.0,0.0
6065000,0.0,0.0,0.0,0.0
6066000,0.0,0.0,0.0,0.0
6067000,0.0,0.0,0.0,0.0
6068000,0.0,0.0,0.0,0.0
6069000,0.0,0.0,0.0,0.0
6071000,0.0,0.0,0.0,0.0
6072000,0.0,0.0,0.0,0.0
6075000,0.0,0.0,0.0,0.0
6076000,0.0,0.0,0.0,0.0
6079000,0.0,0.0,0.0,0.0
6080000,0.0,0.0,0.0,0.0
6082000,0.0,0.0,0.0,0.0
6083000,0.0,0.0,0.0,0.0
